transaction_id,date,amount_raw,amount,operation_raw,operation_type,direction,details,Мерчант,user_id,category
44,2026-05-12,-23.41 ₸,23.41,KZT,purchase,credit,Перевод,Возврат денег за заказ 168655349 Aviata списание кешбэков,user_379,Транспорт
45,2026-05-12,+249.00 ₸,249.0,KZT,purchase,credit,Пополнение,Пополнение. Возврат денег за заказ 168655349 Aviata,user_560,Подарки
46,2026-05-12,-249.00 ₸,249.0,KZT,purchase,credit,Платеж,"ТОО ""Aviata"" Возврат денег за заказ 168655349 Aviata",user_665,Кредиты
47,2026-05-12,"-1,550.00 ₸",1550.0,KZT,purchase,credit,Покупка,NAUBAY CAFE ALMATY KZ,user_521,Коммуналка
48,2026-05-12,"-3,000.00 ₸",3000.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_665,Питомцы
49,2026-05-12,"-14,085.00 ₸",14085.0,KZT,purchase,credit,Платеж,"ТОО ""Aviata"" За оплату билета /услугу/продукты/товар заказ 162994767 Aviata",user_560,Транспорт
50,2026-05-12,"-22,365.00 ₸",22365.0,KZT,purchase,credit,Платеж,"ТОО ""Aviata"" За оплату билета /услугу/продукты/товар заказ 168655349 Aviata",user_304,Коммуналка
51,2026-05-12,"-35,703.00 ₸",35703.0,KZT,purchase,credit,Платеж,"ТОО ""Aviata"" За оплату билета /услугу/продукты/товар заказ 135287923 Aviata",user_347,Подписки
52,2026-05-12,"+68,000.00 ₸",68000.0,KZT,purchase,credit,Пополнение,Перевод с карты на карту,user_966,Медицина
53,2026-05-11,-499.00 ₸,499.0,KZT,purchase,credit,Покупка,APPLE.COM BILL ITUNES.COM IE,user_347,Подписки
54,2026-05-11,"-3,370.00 ₸",3370.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_777,Кредиты
55,2026-05-11,"-2,735.00 ₸",2735.0,KZT,purchase,credit,Покупка,SPECTRE COFFEE ALMATY KZ,user_665,Развлечения
56,2026-05-09,"+11,777.40 ₸",11777.4,KZT,purchase,credit,Пополнение,Между своими счетами,user_809,Связь
57,2026-05-09,"-11,892.00 ₸",11892.0,KZT,purchase,credit,Перевод,Рахымберді Дариға Мейрамбекқызы Безвозмездный перевод,user_777,Питомцы
58,2026-05-08,"-1,840.00 ₸",1840.0,KZT,purchase,credit,Перевод,Нұржанов Бауыржан Наурызбекұлы Безвозмездный перевод,user_304,Подарки
59,2026-05-08,"-3,770.00 ₸",3770.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_665,Продукты
60,2026-05-07,"-14,085.00 ₸",14085.0,KZT,purchase,credit,Платеж,"ТОО ""Aviata"" За оплату билета /услугу/продукты/товар заказ 158444869 Aviata",user_777,Штрафы
61,2026-05-07,"-36,450.00 ₸",36450.0,KZT,purchase,credit,Платеж,"ТОО ""Aviata"" За оплату билета /услугу/продукты/товар заказ 179999789 Aviata",user_665,Штрафы
62,2026-05-07,"+40,000.00 ₸",40000.0,KZT,purchase,credit,Пополнение,Перевод с карты на карту,user_521,Дети
63,2026-05-07,"-35,703.00 ₸",35703.0,KZT,purchase,credit,Платеж,"ТОО ""Aviata"" За оплату билета /услугу/продукты/товар заказ 156282747 Aviata",user_304,Одежда
64,2026-05-07,"-4,960.00 ₸",4960.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_379,Аренда
65,2026-05-07,-380.00 ₸,380.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_966,Электроника
66,2026-05-06,"-3,510.00 ₸",3510.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_471,Образование
67,2026-05-06,"-1,097.00 ₸",1097.0,KZT,purchase,credit,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 1097 KZT,user_966,Связь
68,2026-05-06,"-6,688.00 ₸",6688.0,KZT,purchase,credit,Покупка,TOM YUM BAR RESTAURANT ALMATY,user_966,Спорт
69,2026-05-06,"-2,210.00 ₸",2210.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_777,Спорт
70,2026-05-05,"-2,490.00 ₸",2490.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_304,Подписки
71,2026-05-05,"-4,700.00 ₸",4700.0,KZT,purchase,credit,Перевод,Болат Алишер Амантайұлы Безвозмездный перевод,user_665,Рестораны
72,2026-05-05,-310.00 ₸,310.0,KZT,purchase,credit,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 310 KZT,user_347,Путешествия
73,2026-05-05,"-1,970.00 ₸",1970.0,KZT,purchase,credit,Покупка,YANDEX.GO ALMATY KZ,user_471,Связь
74,2026-05-04,"-2,500.00 ₸",2500.0,KZT,purchase,credit,Покупка,YANDEX.GO ALMATY KZ,user_560,Транспорт
75,2026-05-04,"-10,000.00 ₸",10000.0,KZT,purchase,credit,Перевод,Алданазар Аиша Мұхаметжанқызы Безвозмездный перевод,user_777,Питомцы
76,2026-05-04,"-2,350.00 ₸",2350.0,KZT,purchase,credit,Платеж,Возмещение за QR оплату через POS 72002160 на сумму 2350 KZT,user_471,Инвестиции
77,2026-05-04,-620.00 ₸,620.0,KZT,purchase,credit,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 620 KZT,user_379,Подписки
78,2026-05-04,"-2,950.00 ₸",2950.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_521,Связь
79,2026-05-04,+12.86 ₸,12.86,KZT,purchase,credit,Пополнение,Пополнение.,user_304,Дети
80,2026-05-03,"-1,490.00 ₸",1490.0,KZT,purchase,credit,Покупка,IVI.RU ALMATY KZ,user_560,Кредиты
81,2026-05-03,"-20,040.00 ₸",20040.0,KZT,purchase,credit,Покупка,"TOO ""SPENISH RITEYL KAZAH ALMATY",user_777,Медицина
82,2026-05-03,"-12,290.00 ₸",12290.0,KZT,purchase,credit,Платеж,Возмещение за QR оплату через POS 70006265 на сумму 12290 KZT,user_966,Подписки
83,2026-05-02,-650.00 ₸,650.0,KZT,purchase,credit,Покупка,GASTRONOMIYA ALMATY KZ,user_809,Штрафы
84,2026-05-02,"-13,816.00 ₸",13816.0,KZT,purchase,credit,Покупка,SMALL SUPERMARKET ALA03 ALMATY KZ,user_777,Дети
85,2026-05-02,"-3,840.00 ₸",3840.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_809,Авто
86,2026-05-02,"-6,600.00 ₸",6600.0,KZT,purchase,credit,Покупка,VANILLA COFFEE SHOP ALMATY KZ,user_966,Образование
87,2026-05-02,"-18,000.00 ₸",18000.0,KZT,purchase,credit,Перевод,Перевод с карты на карту,user_521,Связь
88,2026-05-02,"-10,000.00 ₸",10000.0,KZT,purchase,credit,Перевод,Перевод с карты на карту,user_304,Питомцы
89,2026-05-02,"-2,380.00 ₸",2380.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_665,Аренда
90,2026-05-02,-310.00 ₸,310.0,KZT,purchase,credit,Покупка,GASTRONOMIYA ALMATY KZ,user_777,Рестораны
91,2026-05-01,"-6,468.00 ₸",6468.0,KZT,purchase,credit,Покупка,IP TOYBAEVA ALMATY KZ,user_347,Развлечения
92,2026-05-01,"-2,600.00 ₸",2600.0,KZT,purchase,credit,Покупка,KINOPARK ALMATY KZ,user_966,Развлечения
93,2026-05-01,-760.00 ₸,760.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_777,Транспорт
94,2026-05-01,"-53,000.00 ₸",53000.0,KZT,purchase,credit,Перевод,Перевод с карты на карту,user_379,Такси
95,2026-05-01,"-16,400.00 ₸",16400.0,KZT,purchase,credit,Покупка,KINO.KZ ALMATY KZ,user_521,Продукты
96,2026-05-01,-430.00 ₸,430.0,KZT,purchase,credit,Покупка,YANDEX.GO ALMATY KZ,user_379,Электроника
97,2026-04-30,"-1,760.00 ₸",1760.0,KZT,purchase,credit,Покупка,GASTRONOMIYA ALMATY KZ,user_471,Кредиты
98,2026-04-30,"-1,720.00 ₸",1720.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_304,Кредиты
99,2026-04-30,"-5,670.00 ₸",5670.0,KZT,purchase,credit,Перевод,Нуржанов Бекет Сабырханулы Безвозмездный перевод,user_471,Дети
100,2026-04-30,"-3,730.00 ₸",3730.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_777,Путешествия
101,2026-04-30,"-6,600.00 ₸",6600.0,KZT,purchase,credit,Перевод,Ермек Альбина Ермекқызы Безвозмездный перевод,user_560,Транспорт
102,2026-04-30,"-10,346.78 ₸",10346.78,KZT,purchase,credit,Покупка,OPENAI CHATGPT SUBSCR 14158799686 US,user_560,Связь
103,2026-04-30,"-4,210.00 ₸",4210.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_304,Такси
104,2026-04-30,"+318,182.00 ₸",318182.0,KZT,purchase,credit,Пополнение,"Поступление от Товарищество с ограниченной ответственностью ""Freedom Holding Operations"" БИН 240340008470 ПП №87 от 30.04.2026",user_347,Подписки
105,2026-04-30,"-1,040.00 ₸",1040.0,KZT,purchase,credit,Покупка,YANDEX.GO ALMATY KZ,user_521,Спорт
106,2026-04-30,"-1,110.00 ₸",1110.0,KZT,purchase,credit,Покупка,YANDEX.GO ALMATY KZ,user_347,Связь
107,2026-04-29,"-1,890.00 ₸",1890.0,KZT,purchase,credit,Покупка,GASTRONOMIYA ALMATY KZ,user_521,Связь
108,2026-04-29,-5.80 $,5.8,USD,other,credit,Покупка,ANTHROPIC 14152360599 US,user_966,Коммуналка
109,2026-04-29,"-5,600.00 ₸",5600.0,KZT,purchase,credit,Покупка,STARBUCKS COFFEE SHOP ALMATY KZ,user_777,Ремонт
110,2026-04-29,"-3,490.00 ₸",3490.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_471,Кредиты
111,2026-04-29,-570.00 ₸,570.0,KZT,purchase,credit,Покупка,"TOO ""AS TIME"" KASKELEN KZ",user_560,Инвестиции
112,2026-04-29,-500.00 ₸,500.0,KZT,purchase,credit,Покупка,NANGO SHOP ALMATINSKAYa KZ,user_379,Такси
113,2026-04-29,"-4,360.00 ₸",4360.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_665,Аренда
114,2026-04-29,-114.00 ₸,114.0,KZT,purchase,credit,Платеж,"ТОО ""Arbuz Group (Арбуз Груп)"" За оплату билета/услугу/продукты /товар заказ 5456889 Arbuz",user_809,Спорт
115,2026-04-28,"-20,000.00 ₸",20000.0,KZT,purchase,credit,Перевод,Перевод с карты на карту,user_665,Дети
116,2026-04-28,"-17,929.00 ₸",17929.0,KZT,purchase,credit,Платеж,"ТОО ""Arbuz Group (Арбуз Груп)"" За оплату билета/услугу/продукты /товар заказ 5456889 Arbuz",user_471,Транспорт
117,2026-04-28,-390.00 ₸,390.0,KZT,purchase,credit,Покупка,GASTRONOMIYA ALMATY KZ,user_471,Связь
118,2026-04-28,"-2,550.00 ₸",2550.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_521,Ремонт
119,2026-04-28,-240.00 ₸,240.0,KZT,purchase,credit,Покупка,YANDEX.DELIVERY ALMATY KZ,user_347,Продукты
120,2026-04-28,"-1,550.00 ₸",1550.0,KZT,purchase,credit,Покупка,YANDEX.DELIVERY ALMATY KZ,user_665,Инвестиции
121,2026-04-28,"+1,550.00 ₸",1550.0,KZT,purchase,credit,Покупка,Возврат. Отмена покупки,user_521,Дети
122,2026-04-28,"-4,280.00 ₸",4280.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_521,Подарки
123,2026-04-28,"-1,550.00 ₸",1550.0,KZT,purchase,credit,Покупка,YANDEX.DELIVERY ALMATY KZ,user_347,Путешествия
124,2026-04-28,"+68,850.00 ₸",68850.0,KZT,purchase,credit,Пополнение,Заработная плата. Сумма на руки за период апрель 2026 г.,user_379,Кредиты
125,2026-04-26,"-1,500.00 ₸",1500.0,KZT,purchase,credit,Покупка,GASTRONOMIYA ALMATY KZ,user_560,Путешествия
126,2026-04-26,-11.60 $,11.6,USD,other,credit,Покупка,ANTHROPIC 14152360599 US,user_304,Красота
127,2026-04-26,"+3,684.52 ₸",3684.52,KZT,purchase,credit,Пополнение,Между своими счетами,user_560,Коммуналка
128,2026-04-26,-280.00 ₸,280.0,KZT,purchase,credit,Покупка,SALAMAT G.ALMATY KZ,user_809,Страхование
129,2026-04-26,"-2,580.00 ₸",2580.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_665,Кредиты
130,2026-04-25,"-5,675.00 ₸",5675.0,KZT,purchase,credit,Перевод,Ермек Альбина Ермекқызы Безвозмездный перевод,user_560,Путешествия
131,2026-04-25,-235.00 ₸,235.0,KZT,purchase,credit,Покупка,EUROPHARMA 323 PHARMACY ALMATY KZ,user_304,Рестораны
132,2026-04-25,"-2,222.00 ₸",2222.0,KZT,purchase,credit,Перевод,Мұратбекұлы Мейіржан Безвозмездный перевод,user_966,Спорт
133,2026-04-25,"-2,755.00 ₸",2755.0,KZT,purchase,credit,Покупка,IP ORALZHAN TEKELI KZ,user_665,Инвестиции
134,2026-04-25,"-4,900.00 ₸",4900.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_304,Развлечения
135,2026-04-25,"-2,190.00 ₸",2190.0,KZT,purchase,credit,Покупка,SPECTRE COFFEE ALMATY KZ,user_521,Красота
136,2026-04-24,"-4,721.00 ₸",4721.0,KZT,purchase,credit,Покупка,SAMA LEPILA SHOP ALMATY KZ,user_471,Питомцы
137,2026-04-24,"-1,880.00 ₸",1880.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_379,Штрафы
138,2026-04-24,"-2,239.00 ₸",2239.0,KZT,purchase,credit,Покупка,Mikromarket Purple 34 ALMATY KZ,user_809,Инвестиции
139,2026-04-24,"-2,700.00 ₸",2700.0,KZT,purchase,credit,Покупка,BARBARIS ESENTAI TOWERS ALMATY KZ,user_304,Страхование
140,2026-04-24,-315.00 ₸,315.0,KZT,purchase,credit,Покупка,Mikromarket Purple 34 ALMATY KZ,user_560,Питомцы
141,2026-04-24,"-2,220.00 ₸",2220.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_471,Такси
142,2026-04-23,"-2,530.00 ₸",2530.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_560,Путешествия
143,2026-04-23,"-1,706.00 ₸",1706.0,KZT,purchase,credit,Покупка,RYADOM ALMATY KZ,user_665,Транспорт
144,2026-04-23,"-6,000.00 ₸",6000.0,KZT,purchase,credit,Перевод,Болат Алишер Амантайұлы Безвозмездный перевод,user_304,Медицина
145,2026-04-23,-310.00 ₸,310.0,KZT,purchase,credit,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 310 KZT,user_560,Спорт
146,2026-04-23,"-2,020.00 ₸",2020.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_347,Инвестиции
147,2026-04-22,"-1,630.00 ₸",1630.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_777,Рестораны
148,2026-04-22,"-4,500.00 ₸",4500.0,KZT,purchase,credit,Перевод,Нұржанов Бауыржан Наурызбекұлы Безвозмездный перевод,user_471,Аренда
149,2026-04-22,"-1,360.00 ₸",1360.0,KZT,purchase,credit,Покупка,"TOO ""AS TIME"" KASKELEN KZ",user_966,Одежда
150,2026-04-22,-730.00 ₸,730.0,KZT,purchase,credit,Покупка,YANDEX.DELIVERY ALMATY KZ,user_471,Связь
151,2026-04-22,"-14,000.00 ₸",14000.0,KZT,purchase,credit,Перевод,Перевод с карты на карту,user_560,Ремонт
152,2026-04-22,"-3,290.00 ₸",3290.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_560,Путешествия
153,2026-04-22,"+52,000.00 ₸",52000.0,KZT,purchase,credit,Пополнение,Перевод с карты на карту,user_809,Медицина
154,2026-04-22,"-1,999.00 ₸",1999.0,KZT,purchase,credit,Покупка,YANDEX.PLUS ALMATY KZ,user_347,Электроника
155,2026-04-21,+50.00 ₸,50.0,KZT,purchase,credit,Пополнение,Пополнение. Возврат денег за заказ 5400219 Arbuz,user_966,Продукты
156,2026-04-21,-50.00 ₸,50.0,KZT,purchase,credit,Платеж,"ТОО ""Arbuz Group (Арбуз Груп)"" Возврат денег за заказ 5400219 Arbuz",user_379,Страхование
157,2026-04-21,"-2,380.00 ₸",2380.0,KZT,purchase,credit,Покупка,YANDEX.GO ALMATY KZ,user_809,Штрафы
158,2026-04-21,"-12,717.00 ₸",12717.0,KZT,purchase,credit,Платеж,"ТОО ""Arbuz Group (Арбуз Груп)"" За оплату билета/услугу/продукты /товар заказ 5400219 Arbuz",user_665,Продукты
159,2026-04-21,"-5,600.00 ₸",5600.0,KZT,purchase,credit,Перевод,Болат Алишер Амантайұлы Безвозмездный перевод,user_966,Питомцы
160,2026-04-21,"+44,800.00 ₸",44800.0,KZT,purchase,credit,Пополнение,Перевод с карты на карту,user_304,Кредиты
161,2026-04-21,"-1,420.00 ₸",1420.0,KZT,purchase,credit,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 1420 KZT,user_777,Такси
162,2026-04-21,"-2,260.00 ₸",2260.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_809,Кредиты
163,2026-04-21,"-2,190.00 ₸",2190.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_777,Продукты
164,2026-04-20,"-2,270.00 ₸",2270.0,KZT,purchase,credit,Покупка,"TOO ""MODERN RITEYL"" ALMATY KZ",user_347,Развлечения
165,2026-04-20,"-2,030.00 ₸",2030.0,KZT,purchase,credit,Покупка,GASTRONOMIYA ALMATY KZ,user_665,Подарки
166,2026-04-20,-420.00 ₸,420.0,KZT,purchase,credit,Покупка,RYADOM ALMATY KZ,user_665,Электроника
167,2026-04-20,"-4,700.00 ₸",4700.0,KZT,purchase,credit,Перевод,Лян Ирина Эдуардовна Безвозмездный перевод,user_379,Страхование
168,2026-04-20,"+16,000.00 ₸",16000.0,KZT,purchase,credit,Пополнение,Перевод с карты на карту,user_665,Авто
169,2026-04-19,"-4,600.00 ₸",4600.0,KZT,purchase,credit,Перевод,Жанзаков Дамир Рустемович Безвозмездный перевод,user_560,Путешествия
170,2026-04-19,-110.00 ₸,110.0,KZT,purchase,credit,Покупка,APPLE.COM BILL ITUNES.COM IE,user_471,Красота
171,2026-04-19,"-2,030.00 ₸",2030.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_471,Такси
172,2026-04-18,"-3,180.00 ₸",3180.0,KZT,purchase,credit,Перевод,Нұржанов Бауыржан Наурызбекұлы Безвозмездный перевод,user_379,Транспорт
173,2026-04-18,"-3,800.00 ₸",3800.0,KZT,purchase,credit,Покупка,POPEYES RESTAURANT ALMATY KZ,user_560,Путешествия
174,2026-04-18,"-1,790.00 ₸",1790.0,KZT,purchase,credit,Покупка,DODO PITSTSA YESENTAY G.ALMATY KZ,user_471,Подарки
175,2026-04-18,-520.00 ₸,520.0,KZT,purchase,credit,Покупка,YANDEX.GO ALMATY KZ,user_304,Питомцы
176,2026-04-18,"-3,480.00 ₸",3480.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_560,Медицина
177,2026-04-18,"-30,000.00 ₸",30000.0,KZT,purchase,credit,Перевод,Перевод с карты на карту,user_347,Медицина
178,2026-04-18,"-20,000.00 ₸",20000.0,KZT,purchase,credit,Перевод,Перевод с карты на карту,user_521,Ремонт
179,2026-04-18,"+2,480.00 ₸",2480.0,KZT,purchase,credit,Пополнение,Между своими счетами,user_777,Путешествия
180,2026-04-17,"-3,310.00 ₸",3310.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_560,Питомцы
181,2026-04-17,"-30,000.00 ₸",30000.0,KZT,purchase,credit,Перевод,Лян Ирина Эдуардовна Безвозмездный перевод,user_777,Красота
182,2026-04-17,"-4,095.00 ₸",4095.0,KZT,purchase,credit,Покупка,YANDEX.EDA ALMATY KZ,user_304,Связь
183,2026-04-17,"-2,030.00 ₸",2030.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_521,Медицина
184,2026-04-16,"-1,920.00 ₸",1920.0,KZT,purchase,credit,Покупка,IP ISABEKOVA SHYMKENT KZ,user_966,Дети
185,2026-04-16,"-3,420.00 ₸",3420.0,KZT,purchase,credit,Покупка,GASTRONOMIYA ALMATY KZ,user_379,Развлечения
186,2026-04-16,"-3,120.00 ₸",3120.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_560,Инвестиции
187,2026-04-16,-470.00 ₸,470.0,KZT,purchase,credit,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 470 KZT,user_379,Электроника
188,2026-04-16,"-2,200.00 ₸",2200.0,KZT,purchase,credit,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 2200 KZT,user_665,Путешествия
189,2026-04-16,-441.00 ₸,441.0,KZT,purchase,credit,Покупка,RYADOM ALMATY KZ,user_777,Ремонт
190,2026-04-16,"-3,280.00 ₸",3280.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_777,Ремонт
191,2026-04-15,"-1,090.00 ₸",1090.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_665,Спорт
192,2026-04-15,"-6,000.00 ₸",6000.0,KZT,purchase,credit,Перевод,Перевод с карты на карту,user_966,Подписки
